Disease,Country,Latitude,Longitude,Disease Description
Amok,Indonesia,-2.548926,118.0148634,Seemingly unprovoked episode of homicidal or highly destructive behavior. Many episodes culminate in suicide. Some suggest that cases may derive traditional values placed on aggression and suicidal attacks on warfare. 
Amok,Malaysia,4.140634,109.6181485,Seemingly unprovoked episode of homicidal or highly destructive behavior. Many episodes culminate in suicide. Some suggest that cases may derive traditional values placed on aggression and suicidal attacks on warfare. 
Dhat,India,21.1289956,82.7792201,"Anxiety and somatic complaints such as fatigue and muscle pain, related to fear of semen loss."
Dhat,Taiwan,23.553118,121.0211024,"Anxiety and somatic complaints such as fatigue and muscle pain, related to fear of semen loss."
Koro,China,35.8617,104.1954,Panic or anxiety reaction involving fear of genital retraction
Koro,India,21.128995,82.77922,Panic or anxiety reaction involving fear of genital retraction
Latah,Indonesia,-2.548932,118.0148634,"Exaggerated response to a fright, followed by echopraxia, often a feeling of humiliation after. "
Latah,Malaysia,4.140639,109.618149,"Exaggerated response to a fright, followed by echopraxia, often a feeling of humiliation after. "
Nervios,Egypt,26.8357675,30.7956597,"Extreme anxiety, complaints of muscle and head pain, diminished reactivity, nausea, appetite loss, insomnia, fatigue, and agitation. "
Nervios,Northern Europe,62.2786,12.30402,"Extreme anxiety, complaints of muscle and head pain, diminished reactivity, nausea, appetite loss, insomnia, fatigue, and agitation. "
Nervios,Greece,38.2749497,23.8102717,"Extreme anxiety, complaints of muscle and head pain, diminished reactivity, nausea, appetite loss, insomnia, fatigue, and agitation. "
Nervios,Mexico,23.6260333,-102.5375005,"Extreme anxiety, complaints of muscle and head pain, diminished reactivity, nausea, appetite loss, insomnia, fatigue, and agitation. "
Nervios,South America,-14.2400732,-53.180501,"Extreme anxiety, complaints of muscle and head pain, diminished reactivity, nausea, appetite loss, insomnia, fatigue, and agitation. "
Pibloktoq (Arctic Hysteria),Arctic Circle,66.5,0,"Fatigue, depression, or confussion, followed by a ""seizure"" of disruptive behavior including tearing off clothes, frenzied running, rolling in snow, and echopraxia"
Ufufuyane,Kenya,0.1768696,37.9083264,"Anxiety atributed to rejected lovers. Features include shouting, sobbing, paralysis, or loss of consciousness. Most victims are young, unmarried women. Some experience nightmares with sexual themes or episodes of temporary blindness. Attacks can continue for days or weeks and may be provoked by the sight of men or foreigners."
Windigo,North East America,43.2994,-74.2179,"Cannibalistic obsession, usually male. Symptoms include depression, homicidal or suicidal thoughts, and a compulsive wish to eat human flesh"
